web-scraper-order,web-scraper-start-url,games-href,title,platform,descriptors,rating
1669304193-3338,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1018/spiderman-venom-separation-anxiety/,Spiderman/Venom/ Separation Anxiety,"Windows PC, Sega 32X, Sega Genesis, Super Nintendo",No Descriptors,Everyone
1669304196-3339,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/322/the-11th-hourthe-sequel-to-the-7th-guest/,THE 11th Hour:The Sequel To The 7th Guest,"3DO, Atari Jaguar, Windows PC","Realistic Blood and Gore, Suggestive Themes",Mature 17+
1669304199-3340,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1831/assassin-2015/,Assassin 2015,Windows PC,"Animated Blood, Animated Violence",Mature 17+
1669304201-3341,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1739/indiana-jones-and-the-fate-of-atlantis/,Indiana Jones and the Fate of Atlantis,Windows PC,Animated Violence,Everyone
1669304204-3342,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1765/p-t-o-ii/,P.T.O. II,Windows PC,No Descriptors,Everyone
1669304206-3343,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1783/blood-omen-legacy-of-kain/,Blood Omen-Legacy of Kain,"Windows PC, PlayStation/PS one","Animated Blood and Gore, Animated Violence",Mature 17+
1669304209-3344,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1773/manic-karts/,Manic Karts,Windows PC,No Descriptors,Everyone
1669304211-3345,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1793/3do-games-decathlon/,3DO Games: Decathlon,Windows PC,No Descriptors,Everyone
1669304214-3346,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1587/urban-runner/,Urban Runner,Windows PC,Realistic Blood,Mature 17+
1669304217-3347,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1819/star-trader/,Star Trader,Windows PC,Animated Violence,Everyone
1669304219-3348,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1821/student-reference-library/,Student Reference Library,Windows PC,"Realistic Blood, Realistic Violence",Everyone
1669304222-3349,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1838/gender-wars/,Gender Wars,Windows PC,Animated Violence,Mature 17+
1669304224-3350,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/784/dark-forces/,Dark Forces,Windows PC,Animated Violence,Teen
1669304227-3351,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1814/mysterious-island/,Mysterious Island,Windows PC,No Descriptors,Everyone
1669304229-3352,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/941/wipeout/,Wipeout,"Windows PC, PlayStation Certified Device, PlayStation/PS one",No Descriptors,Everyone
1669304232-3353,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/940/destruction-derby/,Destruction Derby,"Windows PC, PlayStation Certified Device, PlayStation/PS one",No Descriptors,Everyone
1669304235-3354,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/509/celtic-tales-balor-of-the-evil-eye/,Celtic Tales: Balor Of The Evil Eye,Windows PC,Animated Violence,Everyone
1669304237-3355,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1959/virtua-cop-2/,Virtua Cop 2,Windows PC,Animated Violence,Teen
1669304240-3356,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1862/deadlock/,Deadlock,"Macintosh, Windows PC",Animated Violence,Teen
1669304242-3357,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1876/lode-runner/,Lode Runner,Windows PC,No Descriptors,Everyone
1669304245-3358,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1867/shadows-of-the-empire/,Shadows of The Empire,"Nintendo 64, Windows PC",Animated Violence,Teen
1669304248-3359,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1881/the-pandora-directive/,The Pandora Directive,Windows PC,"Realistic Blood, Realistic Violence, Use of Alcohol and Tobacco",Teen
1669304250-3360,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1899/take-a-break-pinball/,Take a Break Pinball,Windows PC,No Descriptors,Everyone
1669304253-3361,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1879/grid-runner/,Grid Runner,"Windows PC, PlayStation/PS one, Sega Saturn",Animated Violence,Everyone
1669304255-3362,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1896/scorcher/,Scorcher,Windows PC,No Descriptors,Everyone
1669304258-3363,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1900/cybergladiators/,CyberGladiators,Windows PC,Animated Violence,Teen
1669304260-3364,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1893/bicycle-pinochle/,Bicycle Pinochle,Windows PC,No Descriptors,Everyone
1669304263-3365,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1894/bicycle-hearts-spades/,Bicycle Hearts & Spades,Windows PC,No Descriptors,Everyone
1669304266-3366,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1895/amok/,Amok,Windows PC,Animated Violence,Teen
1669304268-3367,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1898/3d-ultra-pinball/,3D Ultra Pinball:,"Macintosh, Windows PC",No Descriptors,Everyone
1669304271-3368,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1902/monster-truck-racing-madness/,Monster Truck Racing Madness,Windows PC,No Descriptors,Everyone
1669304273-3369,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1903/microsoft-soccer/,Microsoft Soccer,Windows PC,No Descriptors,Everyone
1669304276-3370,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1892/roboquest/,RoboQuest,Windows PC,Animated Violence,Everyone
1669304278-3371,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1871/leisure-suit-larry-5/,Leisure Suit Larry 5,Windows PC,Suggestive Themes,Mature 17+
1669304281-3372,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1909/web-max/,Web Max,Windows PC,No Descriptors,Everyone
1669304283-3373,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1915/mortal-kombat-trilogy/,Mortal Kombat Trilogy,"Nintendo 64, Windows PC, PlayStation/PS one, Sega Saturn","Realistic Blood and Gore, Realistic Violence",Mature 17+
1669304286-3374,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1908/mavis-beacon-teaches-kids-to-type/,Mavis Beacon Teaches Kids To Type,Windows PC,No Descriptors,Everyone
1669304289-3375,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1913/final-doom/,Final Doom,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
1669304292-3376,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1917/offensive/,Offensive,Windows PC,Animated Violence,Everyone
1669304294-3377,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1914/deadly-tide/,Deadly Tide,Windows PC,Animated Violence,Everyone
1669304297-3378,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1544/alien-trilogy/,Alien Trilogy,"Windows PC, PlayStation/PS one, Sega Saturn","Animated Blood and Gore, Animated Violence",Mature 17+
1669304299-3379,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1904/nba-full-court-press/,NBA Full Court Press,Windows PC,No Descriptors,Everyone
1669304302-3380,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1923/jagged-alliance-deadly-games/,Jagged Alliance Deadly Games,Windows PC,"Animated Blood, Animated Violence",Teen
1669304304-3381,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1925/wargame-construction-set-iiiage-of-rifles/,Wargame Construction Set III:Age of Rifles,Windows PC,Animated Violence,Everyone
1669304307-3382,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1924/steel-panthers-campaign-disk/,Steel Panthers Campaign Disk,Windows PC,Realistic Violence,Everyone
1669304310-3383,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1919/my-cool-diner/,My Cool Diner,Windows PC,Comic Mischief,Everyone
1669304312-3384,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1930/the-hunchback-of-notre-dame-topsy-turvy-games/,The Hunchback of Notre Dame Topsy Turvy Games,Windows PC,No Descriptors,Everyone
1669304315-3385,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1926/marathon-2/,Marathon 2,Windows PC,"Animated Blood, Animated Violence",Mature 17+
1669304317-3386,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1938/ironman-x-o/,IronMan X-O,"Windows PC, PlayStation/PS one, Sega Saturn",Animated Violence,Teen
1669304320-3387,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1943/wipeout-xl/,Wipeout XL,"Windows PC, PlayStation/PS one",Animated Violence,Everyone
1669304322-3388,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1931/space-shuttle/,Space Shuttle,Windows PC,No Descriptors,Everyone
1669304325-3389,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1933/oceans-below/,Oceans Below,Windows PC,No Descriptors,Everyone
1669304328-3390,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1934/kidsoft-gamepak-wasentertainment-digest/,Kidsoft Gamepak (was:Entertainment Digest),Windows PC,No Descriptors,Everyone
1669304330-3391,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1942/battleground-4-shiloh/,Battleground 4: Shiloh,Windows PC,Animated Violence,Everyone
1669304333-3392,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1948/barbie-print-shop/,Barbie Print Shop,Windows PC,No Descriptors,Everyone
1669304335-3393,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1945/barbie-fashion-designer/,Barbie Fashion Designer,"Macintosh, Windows PC",No Descriptors,Everyone
1669304338-3394,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1950/superman-the-mysterious-mr-mist/,Superman- The Mysterious Mr. Mist,"Macintosh, Windows PC",Animated Violence,Everyone
1669304340-3395,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1952/superboy-spies-from-outer-space/,Superboy- Spies from Outer Space,"Macintosh, Windows PC",Animated Violence,Everyone
1669304343-3396,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1932/secrets-of-the-pyramids/,Secrets of the Pyramids,"Macintosh, Windows PC",No Descriptors,Everyone
1669304346-3397,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1949/batman-partners-in-perils/,Batman- Partners in Perils,"Macintosh, Windows PC",Animated Violence,Everyone
1669304348-3398,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1946/barbie-story-maker/,Barbie Story Maker,Windows PC,No Descriptors,Everyone
1669304351-3399,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1951/aquaman-war-of-the-water-worlds/,Aquaman-War of the Water Worlds,"Macintosh, Windows PC",Animated Violence,Everyone
1669304353-3400,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1906/you-dont-know-jack-censored/,"You Don't Know Jack ""Censored""",Windows PC,"Comic Mischief, Mild Language",Everyone
1669304356-3401,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1954/pray-for-death/,Pray for Death,Windows PC,"Animated Blood, Animated Violence",Teen
1669304359-3402,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1963/world-rally-fever/,World Rally Fever,Windows PC,No Descriptors,Everyone
1669304361-3403,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1874/space-quest-v/,Space Quest V,Windows PC,"Animated Violence, Comic Mischief",Teen
1669304364-3404,https://www.esrb.org/search/?searchKeyword=&platform=Nintendo%20Switch%2CPlayStation%205%2CPlayStation%204%2CXbox%20Series%2CXbox%20One%2CPC&rating=E%2CE10%2B%2CT%2CM%2CAO&descriptor=All%20Content&pg=801&searchType=All&ielement[]=all,https://www.esrb.org/ratings/1969/nfl-quarterback-club-97/,NFL Quarterback Club '97,"Windows PC, PlayStation/PS one, Sega Saturn",No Descriptors,Everyone
