title,platform,genre,rating
Crystal Fantasy,"Macintosh, Windows PC",Strong Sexual Content,Adults Only 18+
Streets of Rage 2,"Macintosh, Windows PC, PlayStation 3, Wii, Xbox 360, Xbox One",Animated Violence,Everyone
Space Hulk:  Vengeance of the Blood Angels,"3DO, Windows PC, PlayStation/PS one, Sega Saturn",Animated Blood and Gore,Teen
Leisure Suit Larry 1,Windows PC,"Mature Sexual Themes, Suggestive Themes",Mature 17+
Duke Nukem II,Windows PC,Animated Violence,Everyone
AD&D Ravenloft: Stone Prophet,Windows PC,Animated Violence,Everyone
Duke Nukem 3D,Windows PC,"Animated Blood and Gore, Animated Violence, Strong Sexual Content",Mature 17+
Harvester,Windows PC,"Realistic Blood and Gore, Realistic Violence",Mature 17+
Toonstruck,Windows PC,"Comic Mischief, Mild Animated Violence",Teen
Diablo,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
Daggerfall,Windows PC,"Animated Violence, Mature Sexual Themes",Mature 17+
Fable,Windows PC,Suggestive Themes,Teen
Level Master IV for Diablo,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
The Curse of Monkey Island,Windows PC,"Comic Mischief, Use of Alcohol and Tobacco",Everyone
Castlevania: Symphony of The Night,"Windows PC, PlayStation/PS one, Xbox 360","Animated Blood and Gore, Animated Violence",Teen
Disney's Hercules Action Game,Windows PC,Animated Violence,Everyone
Virus:The Game,Windows PC,Animated Violence,Everyone
Dungeon Keeper,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
Grand Theft Auto,"Windows PC, PlayStation/PS one","Animated Blood, Strong Language",Mature 17+
NFL Blitz,"Game Boy, Nintendo 64, Windows PC, PlayStation/PS one","Animated Violence, Mild Language",Everyone
Unreal Tournament,"Dreamcast, Windows PC, PlayStation 2","Animated Blood and Gore, Animated Violence",Mature 17+
Outcast,Windows PC,"Animated Blood, Animated Violence, Strong Language",Teen
Half-Life: Opposing Force,Windows PC,"Animated Blood, Animated Violence",Mature 17+
Resident Evil Code: Veronica X,"Dreamcast, GameCube, PlayStation 2, PlayStation 3, PlayStation 4, PlayStation/PS one, Xbox 360","Animated Blood and Gore, Animated Violence",Mature 17+
Diablo II,Windows PC,"Animated Blood and Gore, Animated Violence",Mature 17+
Crimson Skies,Windows PC,"Animated Violence, Use of Alcohol and Tobacco",Teen
Squad Leader,Windows PC,Mild Animated Violence,Teen
SWAT 3: Elite Edtion,Windows PC,"Animated Blood, Animated Violence",Mature 17+
American McGee's Alice,"Macintosh, Windows PC","Blood and Gore, Violence",Mature 17+
Diablo II: Lord of Destruction,"Macintosh, Windows PC","Blood and Gore, Violence",Mature 17+
Max Payne,"iOS, Macintosh, Mobile Phone, Windows PC, PlayStation 2, Xbox, Xbox 360","Blood, Violence",Mature 17+
FIFA 2002,"GameCube, Windows PC, PlayStation 2, PlayStation/PS one",No Descriptors,Everyone
Kinetica,"PlayStation 2, PlayStation 4","Mild Violence, Suggestive Themes",Teen
Tony Hawk's Pro Skater 3,"GameCube, Windows PC, PlayStation 2, Xbox","Blood, Mild Lyrics, Suggestive Themes",Teen
Heroes of Might and Magic IV,"Macintosh, Windows PC","Animated Blood, Violence",Everyone
Silent Hill 2 Restless Dreams,"Windows PC, Xbox","Blood and Gore, Violence",Mature 17+
Druuna,Windows PC,"Blood and Gore, Mature Sexual Themes, Violence",Mature 17+
NASCAR Racing 2002 Season,Windows PC,No Descriptors,Everyone
Star Wars Jedi Knight II : Jedi Outcast,"GameCube, Windows PC, Xbox",Violence,Teen
Star Trek: Starfleet Command III,Windows PC,Violence,Everyone
Star Wars: Knights of the Old Republic,"Windows PC, Xbox",Violence,Teen
Line of Sight-Vietnam,Windows PC,"Blood, Violence",Mature 17+
Casino Inc.,Windows PC,"Gambling, Mature Sexual Themes, Use of Alcohol, Violence",Mature 17+
Big Mutha Truckers,"GameCube, Windows PC, PlayStation 2, Xbox","Comic Mischief, Mild Language, Mild Violence, Suggestive Themes",Teen
The Simpsons Hit and Run,"GameCube, Windows PC, PlayStation 2, Xbox","Comic Mischief, Mild Language, Violence",Teen
Counter-Strike: Condition Zero,Windows PC,"Blood, Drug Reference, Intense Violence",Mature 17+
Teenage Mutant Ninja Turtles,"GameCube, Windows PC, PlayStation 2, Xbox",Violence,Everyone
Medal of Honor Allied Assault Breakthrough,"Online, Windows PC",Violence,Teen
Need for Speed Underground,"GameCube, Online, Windows PC, PlayStation 2, Xbox","Mild Language, Suggestive Themes",Everyone
Max Payne 2: The Fall of Max Payne,"Windows PC, PlayStation 2, Xbox, Xbox 360","Blood, Intense Violence, Mature Sexual Themes, Strong Language",Mature 17+
Secret Service Security Breach,Windows PC,Violence,Teen
Worms 3D,"GameCube, Online, Windows PC, PlayStation 2, Xbox",Cartoon Violence,Teen
Shrek 2,Windows PC,"Cartoon Violence, Comic Mischief",Everyone
The Suffering,Windows PC,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
Doom 3,"Windows PC, Xbox","Blood and Gore, Intense Violence",Mature 17+
Tony Hawk's Underground 2,"GameCube, Windows PC, PlayStation 2, Xbox","Blood, Crude Humor, Language, Suggestive Themes, Use of Alcohol, Violence",Teen
Half-Life 2,Windows PC,"Blood, Intense Violence",Mature 17+
Knights of Honor,Windows PC,Violence,Everyone 10+
Lego Star Wars: The Video Game,"Macintosh, Windows PC",Violence,Everyone
Heroes of the Pacific,"Online, Windows PC, PlayStation 2, Xbox","Strong Language, Violence",Teen
Evil Dead Regeneration,"Windows PC, PlayStation 2, Xbox","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Namco Museum 50th Anniversary Arcade Collection,"GameCube, Windows PC, PlayStation 2, Xbox",Cartoon Violence,Everyone 10+
Conflict: Global Terror,"Windows PC, PlayStation 2, Xbox","Blood, Language, Violence",Mature 17+
JAWS Unleashed,"Windows PC, PlayStation 2, Xbox","Blood and Gore, Intense Violence",Mature 17+
Namco Museum 50th Anniversary Arcade Collection,"GameCube, Windows PC, PlayStation 2, Xbox","Cartoon Violence, Mild Lyrics",Everyone 10+
Ricochet,Windows PC,No Descriptors,Everyone
Shrek SuperSlam,"GameCube, Windows PC, PlayStation 2, Xbox","Cartoon Violence, Crude Humor",Everyone 10+
L.A.Rush,"Windows PC, PlayStation 2, Xbox","Language, Mild Violence",Teen
Grand Theft Auto: San Andreas,"Macintosh, Windows PC, PlayStation 2, Xbox, Xbox 360","Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Mature 17+
Gene Troopers,"Online, Windows PC, PlayStation 2, Xbox","Blood, Strong Language, Violence",Mature 17+
Pokemon Team Turbo,Windows PC,No Descriptors,Everyone
Need for Speed: Most Wanted,"GameCube, Windows PC, PlayStation 2, Xbox, Xbox 360",Mild Violence,Teen
Counter-Strike: Source,Windows PC,"Blood, Intense Violence",Mature 17+
Black and White 2,Windows PC,"Blood and Gore, Crude Humor, Use of Alcohol, Violence",Teen
Half-Life: Opposing Force,"Online, Windows PC","Blood and Gore, Intense Violence, Language",Mature 17+
Gun,"GameCube, Online, Windows PC, PlayStation 2, Xbox, Xbox 360","Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
"SWAT 4: ""The Stetchkov Syndicate""","Online, Windows PC","Blood, Intense Violence, Strong Language",Mature 17+
Marc Ecko's Getting Up: Contents Under Pressure,"Windows PC, Xbox","Blood, Strong Language, Violence",Mature 17+
Chess Titans,Windows PC,No Descriptors,Everyone
Outrun 2006: Coast to Coast,"Windows PC, PlayStation 2, PSP, Xbox",No Descriptors,Everyone
The Godfather: The Game,"Macintosh, Windows PC, PlayStation 2, Xbox","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
True Crime: New York City,Windows PC,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Mature 17+
Red Orchestra: Ostfront '41-45,Windows PC,"Blood and Gore, Violence",Mature 17+
Devil May Cry 3: Dante's Awakening Special Edition,Windows PC,"Blood, Suggestive Themes, Violence",Mature 17+
FlatOut 2,"Windows PC, PlayStation 2, Xbox","Mild Lyrics, Violence",Teen
Just Cause,"Windows PC, PlayStation 2, Xbox, Xbox 360","Blood, Drug Reference, Intense Violence, Language, Sexual Themes",Mature 17+
Mu Online,Windows PC,"Alcohol Reference, Blood, Fantasy Violence",Teen
LEGO Star Wars II: The Original Trilogy,"GameCube, Windows PC, PlayStation 2, Xbox, Xbox 360","Cartoon Violence, Crude Humor",Everyone 10+
Madden NFL 07,"GameCube, Macintosh, Windows PC, PlayStation 2, Xbox",No Descriptors,Everyone
Zoo Tycoon 2: Marine Mania,Windows PC,Cartoon Violence,Everyone 10+
Marvel: Ultimate Alliance,"Windows PC, PlayStation 2, PlayStation 3, Wii, Xbox, Xbox 360","Mild Language, Violence",Teen
World of Warcraft: The Burning Crusade,"Macintosh, Windows PC","Blood, Suggestive Themes, Use of Alcohol, Violence",Teen
Call of Duty 3,"PlayStation 2, PlayStation 3, Wii, Xbox, Xbox 360, Xbox One","Blood, Language, Violence",Teen
Need for Speed Carbon,"GameCube, Macintosh, Windows PC, PlayStation 2, PlayStation 3, Wii, Xbox 360",Violence,Everyone 10+
The Elder Scrolls IV: Shivering Isles,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Language, Sexual Themes, Use of Alcohol, Violence",Mature 17+
TMNT (Teenage Mutant Ninja Turtles),"GameCube, Windows PC, PlayStation 2, PlayStation 3, Xbox 360",Violence,Everyone 10+
Vectorman,"Windows PC, Wii",Animated Violence,Everyone
Spider-Man 3,"Windows PC, PlayStation 3, Xbox 360","Alcohol Reference, Animated Blood, Mild Language, Violence",Teen
SHREK the THiRD,"Windows PC, PlayStation 2, Wii, Xbox 360","Cartoon Violence, Crude Humor",Everyone 10+
Tomb Raider: Anniversary,"Windows PC, PlayStation 2, PSP, Wii, Xbox 360","Mild Suggestive Themes, Violence",Teen
Defcon,Windows PC,Mild Violence,Teen
Shadowrun,"Windows PC, Xbox 360","Blood, Intense Violence",Mature 17+
Golden Axe II,"Macintosh, Windows PC, PlayStation 3, Wii, Xbox 360",Fantasy Violence,Everyone 10+
Halo 2 for Windows Vista,Windows PC,"Blood and Gore, Language, Partial Nudity, Violence",Mature 17+
BioShock,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Halo 3,"Windows PC, Xbox 360","Blood and Gore, Mild Language, Violence",Mature 17+
Juiced 2 Hot Import Nights,"Windows PC, PlayStation 3, Xbox 360","Language, Suggestive Themes",Teen
Maple Story,Windows PC,"Crude Humor, Mild Cartoon Violence",Everyone 10+
Thrillville: Off the Rails,"Windows PC, PlayStation 2, PSP, Wii, Xbox 360","Fantasy Violence, Mild Lyrics, Mild Suggestive Themes",Everyone 10+
Clive Barker's Jericho,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Mature 17+
The Office,"Macintosh, Windows PC","Alcohol Reference, Comic Mischief",Everyone
The Witcher,Windows PC,"Blood and Gore, Partial Nudity, Strong Language, Strong Sexual Content, Violence",Mature 17+
Swashbucklers: Blue vs. Grey,"Windows PC, PlayStation 2","Blood and Gore, Strong Language, Violence",Mature 17+
Soldier of Fortune Payback,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Drug Reference, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Alien Soldier,"Macintosh, Windows PC, Wii",Fantasy Violence,Everyone 10+
Strawberry Shortcake - The Sweet Dreams Game,Windows PC,No Descriptors,Everyone
Crysis,"Windows PC, PlayStation 3, Xbox 360","Blood, Strong Language, Violence",Mature 17+
The Sims 2 H & M Fashion Stuff,Windows PC,"Crude Humor, Sexual Themes, Violence",Teen
Elf Bowling 7 1/7: The Last Insult,Windows PC,"Comic Mischief, Mild Cartoon Violence",Everyone
The Spiderwick Chronicles,"Windows PC, PlayStation 2, Wii, Xbox 360","Animated Blood, Fantasy Violence",Everyone 10+
Kung Fu Panda,"Windows PC, PlayStation 3, Xbox 360","Fantasy Violence, Mild Language",Everyone 10+
Bully: Scholarship Edition,"Windows PC, Wii, Xbox 360, Xbox One","Animated Blood, Crude Humor, Language, Sexual Themes, Use of Alcohol and Tobacco, Violence",Teen
The Sims 2 IKEA Home Stuff,Windows PC,"Crude Humor, Sexual Themes, Violence",Teen
Hunting Unlimited 2009,Windows PC,"Blood, Violence",Teen
Code of Honor 2: Conspiracy Island,Windows PC,"Blood, Strong Language, Violence",Mature 17+
Saints Row 2,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Sexual Content, Strong Language, Use of Drugs",Mature 17+
S.T.A.L.K.E.R.: Clear Sky,Windows PC,"Blood, Drug Reference, Language, Violence",Mature 17+
Cross Fire,Windows PC,Violence,Teen
Far Cry,Windows PC,"Blood, Intense Violence",Mature 17+
Strong Bad Episode 1 Homestar Ruiner,"Windows PC, PlayStation 3, Wii","Crude Humor, Mild Cartoon Violence, Mild Suggestive Themes",Teen
Strong Bad Episode 2 Strong Badia the Free,"Windows PC, PlayStation 3, Wii","Crude Humor, Mild Cartoon Violence, Use of Alcohol",Everyone 10+
Harry Potter and the Half-Blood Prince™,"Macintosh, Windows PC, PlayStation 2, PlayStation 3, Wii, Xbox 360","Fantasy Violence, Mild Language, Mild Suggestive Themes",Everyone 10+
Shaun White Snowboarding,"Macintosh, Windows PC, PlayStation 3, Xbox 360","Lyrics, Mild Suggestive Themes, Mild Violence",Teen
The Witcher: Enhanced Edition: Director's Cut,Windows PC,"Blood and Gore, Nudity, Strong Language, Strong Sexual Content, Violence",Mature 17+
The Witcher Enhanced Edition,Windows PC,"Blood and Gore, Partial Nudity, Strong Language, Strong Sexual Content, Violence",Mature 17+
Prince of Persia,"Macintosh, Windows PC, PlayStation 3, Xbox 360","Alcohol Reference, Mild Language, Mild Suggestive Themes, Violence",Teen
Strong Bad Episode 4 Dangeresque 3,"Windows PC, PlayStation 3, Wii","Alcohol and Tobacco Reference, Crude Humor, Mild Cartoon Violence",Everyone 10+
Sacred 2: Fallen Angel,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Violence",Mature 17+
Combat Wings: Battle of Britain,Windows PC,"Language, Violence",Teen
Chicken Invaders: Revenge of the Yolk,Windows PC,Mild Cartoon Violence,Everyone
Prince of Persia: The Sands of Time,Windows PC,"Blood, Suggestive Themes, Violence",Teen
F.E.A.R. 2: Project Origin,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language",Mature 17+
Pinewood Derby,Windows PC,No Descriptors,Everyone
BattleForge,Windows PC,"Animated Blood, Fantasy Violence, Language",Teen
Armed Forces Corp / Terrorist Takedown 2,Windows PC,"Blood, Strong Language, Violence",Mature 17+
X-Men Origins: Wolverine,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Language",Mature 17+
Leisure Suit Larry: Box Office Bust,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Drug Reference, Mature Humor, Strong Language, Strong Sexual Content, Violence",Mature 17+
Mini Ninjas,"Windows PC, PlayStation 3, Xbox 360","Cartoon Violence, Crude Humor",Everyone 10+
Helldorado,Windows PC,"Alcohol Reference, Mild Language, Violence",Teen
Wolfenstein,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Language",Mature 17+
Halo 3: ODST,"Windows PC, Xbox 360","Blood, Language, Violence",Mature 17+
Battlefield 1943,"Windows PC, PlayStation 3, Xbox 360",Violence,Teen
The Revenge of Shinobi,"Windows PC, PlayStation 3, Wii, Xbox 360, Xbox One",Fantasy Violence,Everyone 10+
Still Life 2,"Macintosh, Windows PC","Blood and Gore, Partial Nudity, Strong Language, Violence",Mature 17+
Diaper Dash,"Macintosh, Windows PC",No Descriptors,Everyone
Alpha Protocol,"Windows PC, PlayStation 3, Xbox 360","Blood, Drug Reference, Intense Violence, Sexual Content, Strong Language",Mature 17+
WET,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Drug Reference, Intense Violence, Sexual Content, Strong Language",Mature 17+
Scrabble Plus,"Macintosh, Windows PC",No Descriptors,Everyone
Hoyle Casino 2010,"Macintosh, Windows PC","Simulated Gambling, Tobacco Reference",Teen
Cross Fire,Windows PC,Violence,Teen
Borderlands,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Blood and Gore, Intense Violence, Mature Humor, Strong Language",Mature 17+
Farming Simulator,Windows PC,Alcohol Reference,Everyone
SAW,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
Charlie Church Mouse - Preschool Edition,Windows PC,No Descriptors,Everyone
Perfect World International,Windows PC,"Fantasy Violence, Suggestive Themes",Teen
Assassin's Creed II,"Macintosh, Windows PC, Xbox 360, Xbox One","Blood, Intense Violence, Sexual Content, Strong Language",Mature 17+
Fix It,"Windows PC, Wii",Comic Mischief,Everyone
The Sims 3 World Adventures,"Macintosh, Windows PC","Crude Humor, Sexual Themes, Violence",Teen
The Saboteur,"Windows PC, PlayStation 3, Xbox 360","Blood, Intense Violence, Nudity, Sexual Themes, Strong Language",Mature 17+
Modern Warfare 2,"Windows PC, PlayStation 3, Xbox 360","Blood, Drug Reference, Intense Violence, Language",Mature 17+
Rec Room Games,"Windows PC, Wii",Mild Cartoon Violence,Everyone
Sonic & SEGA All-Stars Racing,"Macintosh, Windows PC, PlayStation 3, Wii","Comic Mischief, Lyrics, Mild Cartoon Violence",Everyone 10+
The Sims 3 Create a Sim,"Macintosh, Windows PC","Comic Mischief, Mild Suggestive Themes",Everyone 10+
Tom Clancy's Rainbow Six Vegas 2,Windows PC,"Blood, Intense Violence, Strong Language",Mature 17+
S.T.A.L.K.E.R. Call of Pripyat,Windows PC,"Blood, Language, Use of Alcohol, Violence",Mature 17+
Battlefield: Bad Company 2,"Windows PC, PlayStation 3, Xbox 360","Blood, Strong Language, Violence",Mature 17+
Jojo's Fashion Show - World Tour,"Macintosh, Windows PC",Mild Suggestive Themes,Everyone
Commandos: Behind Enemy Lines,Windows PC,"Blood, Violence",Teen
SKATE 3,"PlayStation 3, Xbox 360, Xbox One","Crude Humor, Drug Reference, Language, Mild Violence, Suggestive Themes",Teen
Silent Hunter 5: Battle of the Atlantic,Windows PC,"Alcohol Reference, Comic Mischief, Mild Language, Violence",Teen
Transformers: War for Cybertron,"Windows PC, PlayStation 3, Xbox 360",Violence,Teen
Prison Tycoon: Alcatraz,Windows PC,Mild Violence,Teen
3D Hunting 2010,Windows PC,"Blood, Violence",Teen
Making History II: The War of the World,Windows PC,"Mild Blood, Mild Violence",Everyone 10+
Need for Speed World,Windows PC,"Mild Suggestive Themes, Mild Violence",Everyone 10+
Hunting Unlimited 2011,Windows PC,Violence,Teen
Medal of Honor,"Windows PC, PlayStation 3, Xbox 360","Blood, Strong Language, Violence",Mature 17+
Shaun White Skateboarding,"Windows PC, PlayStation 3, Xbox 360","Mild Language, Mild Suggestive Themes, Mild Violence",Teen
Hunting Unlimited 5,Windows PC,"Blood, Violence",Teen
ENSLAVED: Odyssey to the West,"Windows PC, PlayStation 3, Xbox 360","Blood, Language, Suggestive Themes, Violence",Teen
Spider-Man: Shattered Dimensions,"Windows PC, PlayStation 3, Xbox 360","Mild Language, Mild Suggestive Themes, Violence",Teen
Chess: Secrets of the Grandmasters,Windows PC,No Descriptors,Everyone
Riding Academy 2,Windows PC,"Alcohol Reference, Mild Suggestive Themes",Everyone
Uncharted Waters Online,Windows PC,"Mild Suggestive Themes, Mild Violence, Simulated Gambling, Tobacco Reference, Use of Alcohol",Everyone 10+
Dead Space 2,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Strong Language",Mature 17+
QUAKE III: Arena,Windows PC,"Blood and Gore, Violence",Mature 17+
QUAKE II,Windows PC,"Blood and Gore, Violence",Mature 17+
DOOM 3,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence",Mature 17+
18 Wheels of Steel: Extreme Trucker 2,Windows PC,No Descriptors,Everyone
DCS: A10C Warthog,Windows PC,Mild Violence,Teen
HISTORY™ Great Battles Medieval,"Windows PC, PlayStation 3, Xbox 360","Mild Blood, Violence",Teen
Battle: Los Angeles,"Windows PC, PlayStation 3, Xbox 360","Blood, Language, Violence",Teen
Amnesia: The Dark Descent,Windows PC,"Blood and Gore, Language, Nudity, Violence",Mature 17+
F.E.A.R. 3,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Partial Nudity, Strong Language",Mature 17+
LEGO Pirates of the Caribbean The Video Game,"Macintosh, Windows PC, PlayStation 3, Wii, Xbox 360, Xbox One","Cartoon Violence, Comic Mischief",Everyone 10+
Super Street Fighter IV: Arcade Edition,"Windows PC, PlayStation 3, Xbox 360","Alcohol Reference, Mild Language, Suggestive Themes, Violence",Teen
Hunting Arcade,Windows PC,"Mild Blood, Violence",Teen
The Witcher 2: Assassins of Kings,"Windows PC, Xbox 360","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs",Mature 17+
Gears of War 3,"Xbox 360, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Hunting Season,Windows PC,"Mild Blood, Violence",Teen
Red Faction: Armageddon,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Strong Language, Violence",Mature 17+
Driver 3,Windows PC,Violence,Mature 17+
LIMBO,"Linux, Macintosh, Windows PC, PlayStation 3, PS Vita","Animated Blood, Mild Violence",Teen
Resident Evil 4,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Language",Mature 17+
Isla Dorada - Episode 1 : The Sands of Ephranis,Windows PC,"Animated Blood, Mild Language, Violent References",Everyone 10+
"Warhammer 40,000: Space Marine","Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence",Mature 17+
PAYDAY: The Heist,"Windows PC, PlayStation 3","Blood, Drug Reference, Intense Violence, Strong Language",Mature 17+
Hunting Unlimited 6,Windows PC,Violence,Teen
Trine 2,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Animated Blood, Fantasy Violence",Everyone 10+
LEGO Harry Potter: Years 5-7,"Windows PC, PlayStation 3, Wii, Xbox 360","Cartoon Violence, Comic Mischief",Everyone 10+
Haunted: Hells Reach,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Global Ops: Commando Libya,Windows PC,"Blood, Strong Language, Violence",Mature 17+
Saints Row: The Third,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Sexual Content, Strong Language",Mature 17+
Slot Quest: Slot Adventure Games,Windows PC,"Mild Blood, Simulated Gambling, Violent References",Teen
Jagged Alliance: Back in Action,Windows PC,"Blood, Sexual Themes, Strong Language, Violence",Mature 17+
Street Fighter X Tekken,"Windows PC, PlayStation 3, PS Vita, Xbox 360","Alcohol Reference, Crude Humor, Language, Suggestive Themes, Violence",Teen
Spec Ops: The Line,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
[PROTOTYPE2],"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Drug Reference, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Mass Effect 3,"Windows PC, PlayStation 3, Wii U, Xbox 360","Blood, Partial Nudity, Sexual Content, Strong Language, Violence",Mature 17+
Wolfenstein,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Language",Mature 17+
Zuma's Revenge!,"PlayStation 3, Xbox 360, Xbox One",Mild Cartoon Violence,Everyone
CABAL Online,Windows PC,"Fantasy Violence, Mild Language",Teen
Transformers: Fall of Cybertron,"Windows PC, PlayStation 3, Xbox 360","Animated Blood, Violence",Teen
London 2012™ - The Official Video Game of the Olympic Games,"Windows PC, PlayStation 3, Xbox 360",No Descriptors,Everyone
Sleeping Dogs,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Sexual Content, Strong Language, Use of Drugs",Mature 17+
The Amazing Spider-Man,Windows PC,"Mild Language, Mild Suggestive Themes, Violence",Teen
Dishonored,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Pro Evolution Soccer 2013,"Windows PC, PlayStation 3, Xbox 360",No Descriptors,Everyone
Jet Set Radio,"Windows PC, PlayStation 3, PS Vita, Xbox 360","Lyrics, Mild Violence",Teen
007 Legends,"Windows PC, PlayStation 3, Wii U, Xbox 360","Blood, Drug Reference, Mild Language, Mild Suggestive Themes, Violence",Teen
Hitman Absolution,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
Monopoly,"Macintosh, Windows PC",No Descriptors,Everyone
Sonic & All-Stars Racing Transformed™,"Windows PC, PlayStation 3, PS Vita, Wii U, Xbox 360","Animated Blood, Mild Cartoon Violence, Mild Language",Everyone 10+
Mark of the Ninja,"Windows PC, Xbox 360","Blood and Gore, Strong Language, Violence",Mature 17+
PlanetSide 2,"Windows PC, PlayStation 4",Violence,Teen
Battle Slots,"Windows PC, PlayStation 3, PS Vita, Xbox 360","Alcohol Reference, Fantasy Violence, Mild Language, Suggestive Themes",Everyone 10+
Angry Birds Star Wars,"Macintosh, Windows PC",Mild Cartoon Violence,Everyone
Battleship,"Macintosh, Windows PC",Mild Violence,Everyone 10+
The Walking Dead,"Macintosh, Windows PC, PlayStation 3, PS Vita, Xbox 360","Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Mature 17+
DEFIANCE,"Windows PC, PlayStation 3, Xbox 360","Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Deadpool,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Mature Humor, Sexual Content, Strong Language",Mature 17+
Scarlet Blade,Windows PC,"Violence, Blood, Sexual Themes, Nudity, Drug Reference, Strong Language",Mature 17+
Dead Island Riptide,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Strong Language, Use of Drugs",Mature 17+
HISTORY® Legends of War: Patton,"Windows PC, PlayStation 3, PS Vita, Xbox 360",Violence,Teen
the Hunter 2013,Windows PC,"Mild Blood, Violence",Teen
Company of Heroes,Windows PC,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
Saints Row 2,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Intense Violence, Sexual Content, Strong Language, Use of Drugs",Mature 17+
Saints Row: The Third,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Sexual Content, Strong Language",Mature 17+
Metro: Last Light,"Macintosh, Windows PC, PlayStation 3, Xbox 360","Blood, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Drugs and Alcohol",Mature 17+
Company of Heroes 2,Windows PC,"Blood and Gore, Strong Language, Violence",Mature 17+
Wargame: AirLand Battle,Windows PC,Mild Violence,Teen
Rayman Legends,"Windows PC, PlayStation 3, PS Vita, Stadia, Nintendo Switch, Wii U, Xbox 360","Cartoon Violence, Comic Mischief",Everyone 10+
Total War: Rome 2,Windows PC,"Alcohol Reference, Language, Suggestive Themes, Violence",Teen
Kinect Sports Rivals,Xbox One,Mild Violence,Everyone 10+
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 FULL BURST,"Windows PC, PlayStation 3, Xbox 360","Blood, Mild Suggestive Themes, Violence",Teen
Command & Conquer,Windows PC,"Blood, Mild Language, Use of Tobacco, Violence",Teen
TMNT: Out of the Shadows,"PlayStation 3, Windows PC, Xbox 360",Violence,Teen
