title,platform,genre,rating
Stardew Valley,"Nintendo Switch, PlayStation 4, PS Vita, Xbox One","Fantasy Violence, Mild Blood, Mild Language, Simulated Gambling, Use of Alcohol and Tobacco",Everyone 10+
Nioh,PlayStation 4,"Blood and Gore, Violence",Mature 17+
Sniper Elite 4,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Language",Mature 17+
Night in the Woods,"PlayStation 4, Xbox One","Fantasy Violence, Mild Blood, Sexual Themes, Drug Reference, Language, Crude Humor, Use of Alcohol and Tobacco",Teen
Yakuza Kiwami,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
Outlast 2,PlayStation 4,"Intense Violence, Blood and Gore, Sexual Content, Nudity, Strong Language",Mature 17+
The Town of Light,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Language, Nudity, Strong Sexual Content",Mature 17+
GWENT: The Witcher card game,PlayStation 4,"Violence, Blood and Gore, Suggestive Themes, Language, Crude Humor, Use of Alcohol",Teen
Hunting Simulator,"Windows PC, PlayStation 4, Xbox One","Blood, Violence",Teen
Chaos;Child,PlayStation 4,"Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language",Mature 17+
Battlefield 1 Revolution,"Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
Night Trap - 25th Anniversary Edition,PlayStation 4,"Violence, Blood, Suggestive Themes",Teen
Minecraft,"Windows PC, Xbox One",Fantasy Violence,Everyone 10+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 2,"PlayStation 4, Xbox One","Mild Blood, Mild Language, Cartoon Violence, Mild Suggestive Themes",Teen
Battle Chasers: Nightwar,Nintendo Switch,"Alcohol Reference, Blood and Gore, Fantasy Violence, Mild Language, Suggestive Themes",Teen
Zero Escape: Zero Time Dilemma,PlayStation 4,"Blood, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Wolfenstein II: The New Colossus,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Partial Nudity, Sexual Content, Strong Language, Use of Drugs",Mature 17+
The Evil Within 2,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Partial Nudity, Strong Language",Mature 17+
Okami HD,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Crude Humor, Fantasy Violence, Partial Nudity, Suggestive Themes, Use of Alcohol and Tobacco",Teen
The Elder Scrolls V: Skyrim VR,"Windows PC, PlayStation 4","Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",Mature 17+
The Binding of Isaac: Afterbirth+,PlayStation 4,"Blood and Gore, Crude Humor, Violence",Mature 17+
Fire Emblem Warriors,Nintendo Switch,"Suggestive Themes, Violence",Teen
Yomawari: Midnight Shadows,"PS Vita, Nintendo Switch","Blood and Gore, Violence",Mature 17+
A Hat in Time,"PlayStation 4, Xbox One","Fantasy Violence, Blood",Teen
What Remains of Edith Finch,PlayStation 4,"Blood, Drug Reference, Language, Violence",Teen
Beholder Complete Edition,PlayStation 4,"Violence, Blood, Drug Reference, Language, Use of Alcohol and Tobacco",Teen
Suicide Guy,PlayStation 4,"Fantasy Violence, Strong Language",Mature 17+
Gang Beasts,"Windows PC, PlayStation 4, Xbox One",Cartoon Violence,Everyone 10+
The American Dream,PlayStation 4,"Violence, Blood, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
Super Bomberman R,"Windows PC, PlayStation 4, Xbox One",Cartoon Violence,Everyone 10+
Burnout Paradise Remastered,"Windows PC, PlayStation 4, Xbox One","Mild Suggestive Themes, Mild Violence",Everyone 10+
RICK AND MORTY: VIRTUAL RICK-ALITY,PlayStation 4,"Crude Humor, Drug Reference, Fantasy Violence, Strong Language",Mature 17+
South Park: The Fractured but Whole,Nintendo Switch,"Blood and Gore, Mature Humor, Nudity, Sexual Content, Strong Language, Use of Drugs, Violence",Mature 17+
Ark Park,"Windows PC, PlayStation 4","Blood, Violence",Teen
Frostpunk,"Windows PC, PlayStation 4, Xbox One","Blood, Mild Sexual Themes, Mild Violence, Strong Language",Mature 17+
Penguin Wars,Nintendo Switch,Mild Cartoon Violence,Everyone
The Crew 2,"Windows PC, PlayStation 4, Stadia, Xbox One",Lyrics,Teen
Mega Man X Legacy Collection,"Windows PC, PlayStation 4, Xbox One","Blood, Cartoon Violence, Mild Suggestive Themes",Teen
City of Brass,"PlayStation 4, Xbox One",Violence,Teen
Warface,"PlayStation 4, Windows PC","Violence, Blood",Teen
Megadimension Neptunia VIIR,"Windows PC, PlayStation 4","Fantasy Violence, Language, Partial Nudity, Suggestive Themes",Teen
Hyrule Warriors: Definitive Edition,Nintendo Switch,"Fantasy Violence, Suggestive Themes",Teen
Dark Souls Remastered,Nintendo Switch,"Blood and Gore, Partial Nudity, Violence",Mature 17+
ZONE OF THE ENDERS: THE 2nd RUNNER - M∀RS,"Windows PC, PlayStation 4","Blood, Mild Suggestive Themes, Violence",Teen
Dragon Quest XI: Echoes of an Elusive Age,PlayStation 4,"Crude Humor, Fantasy Violence, Mild Blood, Simulated Gambling, Suggestive Themes, Use of Alcohol",Teen
Midnight Club: Los Angeles,Xbox One,"Mild Suggestive Themes, Mild Violence, Strong Lyrics",Teen
Unravel 2,"Windows PC, PlayStation 4, Xbox One",Mild Fantasy Violence,Everyone
Jurassic World Evolution,"Windows PC, PlayStation 4, Xbox One","Mild Blood, Violence",Teen
SOULCALIBUR VI,"Windows PC, PlayStation 4, Xbox One","Blood, Mild Language, Partial Nudity, Violence",Teen
